"觀測時間(month)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)","日照時數(hour)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime","RH","SunShine"
"01","926.6","931.6","2006/01/24 10:08:00","919.4","2006/01/20 14:37:00","13.9","31.8","2006/01/31 10:21:00","5.8","2006/01/07 07:05:00","0.6","151","6.2","352","2006/01/04 04:43:00","66.5","15","17.0","2006/01/29 00:00:00","/","/"
"02","928.9","938.3","2006/02/08 23:29:00","921.4","2006/02/26 02:26:00","14.3","31.9","2006/02/16 10:03:00","8.1","2006/02/09 04:20:00","0.7","161","5.9","359","2006/02/03 06:56:00","53.5","13","12.5","2006/02/26 00:00:00","/","&"
"03","924.7","931.9","2006/03/14 08:57:00","916.5","2006/03/27 17:46:00","15.0","28.6","2006/03/18 10:09:00","6.5","2006/03/02 05:37:00","0.6","160","5.0","162","2006/03/10 12:55:00","57.5","16","18.0","2006/03/24 00:00:00","/","/"
"04","922.6","927.4","2006/04/20 20:58:00","915.6","2006/04/22 15:14:00","18.8","34.0","2006/04/05 08:55:00","10.8","2006/04/16 22:24:00","0.2","330","7.2","322","2006/04/10 20:22:00","85.0","14","17.5","2006/04/27 00:00:00","/","X"
"05","922.2","927.5","2006/05/11 22:25:00","912.1","2006/05/18 16:33:00","20.9","29.7","2006/05/01 11:59:00","15.7","2006/05/14 18:33:00","0.2","118","5.0","155","2006/05/17 10:30:00","428.5","15","217.0","2006/05/17 00:00:00","/","/"
"06","917.8","923.4","2006/06/12 21:27:00","910.5","2006/06/09 04:18:00","21.1","29.9","2006/06/08 11:03:00","16.0","2006/06/11 12:21:00","0.3","130","4.4","335","2006/06/13 22:48:00","525.0","12","202.5","2006/06/10 00:00:00","/","X"
"07","916.8","925.7","2006/07/30 10:39:00","892.9","2006/07/13 16:26:00","23.4","31.6","2006/07/06 08:47:00","18.7","2006/07/30 06:21:00","0.7","139","23.8","287","2006/07/24 22:23:00","365.0","12","150.5","2006/07/25 00:00:00","/","/"
"08","918.6","924.5","2006/08/28 20:59:00","907.1","2006/08/09 03:06:00","22.9","31.6","2006/08/31 11:24:00","18.2","2006/08/03 17:26:00","0.8","136","12.8","271","2006/08/09 01:14:00","168.5","16","71.0","2006/08/09 00:00:00","/","/"
"09","921.2","925.6","2006/09/24 23:44:00","910.9","2006/09/16 04:28:00","21.1","32.2","2006/09/04 10:56:00","14.8","2006/09/28 05:59:00","0.6","131","6.5","296","2006/09/29 23:43:00","210.0","19","64.5","2006/09/10 00:00:00","/","X"
"10","925.1","930.3","2006/10/24 21:46:00","916.9","2006/10/04 15:01:00","19.6","29.4","2006/10/02 10:03:00","15.5","2006/10/26 05:56:00","0.6","135","5.9","303","2006/10/20 07:05:00","48.5","10","19.5","2006/10/31 00:00:00","/","/"
"11","923.6","931.4","2006/11/09 09:19:00","916.0","2006/11/26 15:08:00","17.6","31.0","2006/11/18 09:17:00","11.6","2006/11/13 05:51:00","0.6","169","6.4","322","2006/11/23 07:23:00","51.5","14","16.0","2006/11/03 00:00:00","/","X"
"12","925.3","931.3","2006/12/29 09:22:00","917.7","2006/12/25 14:09:00","14.4","30.5","2006/12/07 09:35:00","6.1","2006/12/17 23:42:00","0.6","169","5.8","5","2006/12/08 01:40:00","19.0","12","4.5","2006/12/21 00:00:00","/","/"
