"觀測時間(month)","測站氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","風速(m/s)","風向(360degree)","最大瞬間風(m/s)","最大瞬間風風向(360degree)","最大瞬間風風速時間(LST)","降水量(mm)","降水日數(day)","最大日降水量(mm)","最大日降水量時間(LST)","相對溼度(%)"
"ObsTime","StnPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpDay","Precp1DayMax","Precp1DayMaxTime","RH"
"01","929.2","936.6","2017/01/23 09:31:00","921.3","2017/01/08 14:43:00","13.8","23.2","2017/01/30 10:53:00","7.7","2017/01/21 04:35:00","0.4","157","4.9","338","2017/01/27 05:39:00","15.0","14","3.0","2017/01/01 00:00:00","--"
"02","929.1","938.8","2017/02/14 09:37:00","921.7","2017/02/05 14:27:00","12.6","23.6","2017/02/22 11:06:00","5.3","2017/02/11 07:05:00","0.5","154","4.3","12","2017/02/15 05:58:00","25.5","17","9.5","2017/02/11 00:00:00","--"
"03","926.1","934.2","2017/03/27 22:23:00","918.6","2017/03/06 03:51:00","14.3","23.9","2017/03/31 11:22:00","7.5","2017/03/27 01:09:00","0.5","152","3.6","136","2017/03/31 11:48:00","61.0","15","18.0","2017/03/26 00:00:00","--"
"04","923.1","932.4","2017/04/03 08:31:00","913.9","2017/04/10 16:34:00","17.3","28.8","2017/04/10 10:39:00","8.2","2017/04/03 05:35:00","0.4","154","4.8","154","2017/04/10 16:33:00","105.5","10","41.0","2017/04/22 00:00:00","--"
"05","921.4","927.5","2017/05/10 22:58:00","914.5","2017/05/24 16:37:00","19.9","26.6","2017/05/24 10:57:00","14.6","2017/05/01 05:46:00","0.1","153","3.0","154","2017/05/31 12:01:00","202.5","20","45.0","2017/05/29 00:00:00","--"
"06","919.1","924.3","2017/06/08 00:04:00","910.8","2017/06/02 03:16:00","22.4","28.7","2017/06/25 11:54:00","18.4","2017/06/18 20:02:00","0.3","140","3.6","141","2017/06/28 10:49:00","146.0","15","45.5","2017/06/03 00:00:00","--"
"07","920.4","927.2","2017/07/16 21:35:00","906.2","2017/07/30 00:05:00","23.0","28.3","2017/07/24 11:45:00","18.7","2017/07/16 19:22:00","0.5","154","8.3","136","2017/07/30 18:57:00","251.5","10","122.5","2017/07/30 00:00:00","--"
"08","919.2","925.1","2017/08/18 22:09:00","911.1","2017/08/22 02:31:00","23.9","29.5","2017/08/12 11:06:00","19.5","2017/08/28 06:10:00","0.5","151","4.2","153","2017/08/22 07:22:00","229.5","6","200.5","2017/08/22 00:00:00","--"
"09","917.6","919.9","2017/09/01 09:24:00","915.6","2017/09/02 14:56:00","20.7","23.9","2017/09/02 10:18:00","19.1","2017/09/01 06:14:00","0.2","0","2.0","130","2017/09/02 10:37:00","41.0","2","39.5","2017/09/01 00:00:00","--"
"12","930.0","937.3","2017/12/20 08:33:00","924.4","2017/12/07 14:45:00","13.3","21.2","2017/12/24 11:43:00","8.8","2017/12/22 05:09:00","0.2","165","5.0","341","2017/12/16 03:48:00","27.0","14","8.5","2017/12/07 00:00:00","91"
